Player,Matched_Sentence
David Robinson,"Its portfolio is worth more than $100 million and includes nine hotels and office buildings across the US as well as Centerplate, one of the largest hospitality companies in the world."
David Robinson,"He was initially recruited to the Duke team as a ""preferred walk-on"" with the opportunity to eventually earn a scholarship, but he was placed on scholarship before his arrival at Duke."
David Robinson,"He offered a $2,000 scholarship to everyone who did."
David Robinson,"To date, the Robinsons have donated more than $11 million to the school."
David Robinson,"In March 2003, in recognition of his outstanding contributions to charity, the NBA renamed its award for outstanding charitable efforts in honor of Robinson."
David Robinson,"Winners of the NBA's Community Assist Award receive the David Robinson Plaque, with the inscription ""Following the standard set by NBA Legend David Robinson who improved the community piece by piece."""
David Robinson,"In 2018, Robinson became a member of the V Foundation for Cancer Research's board of directors."
Dirk Nowitzki,"On January 4, 2000, team owner Ross Perot Jr. sold the Mavericks to Internet billionaire Mark Cuban for $280 million."
Dirk Nowitzki,"Cuban quickly invested into the Mavericks and restructured the franchise, attending every game at the sidelines, buying the team a $46 million Boeing 757 to travel in, and increasing franchise revenues to over $100 million."
Dirk Nowitzki,"Nowitzki became a free agent after the season, but signed a four-year, $80 million deal to remain in Dallas."
Dirk Nowitzki,"Back home, the German basketball team attracted up to 3.7 million television viewers, a German basketball record at the time."
Dirk Nowitzki,"Back in Germany, over four million television viewers followed the games, an all-time record in German basketball history."
Dirk Nowitzki,"He founded the Dirk Nowitzki Foundation, a charity which aims at fighting poverty in Africa."
Dominique Wilkins,"As a result, the Jazz traded Wilkins to the Atlanta Hawks several months after the draft for John Drew, Freeman Williams and $1 million in cash."
Dominique Wilkins,Wilkins is responsible for advising the Hawks's senior management team on basketball-related issues and is a goodwill ambassador for the community.
Dominique Wilkins,"In March 2014 Wilkins, whose father and grandfather both died of diabetic complications, filmed a commercial for Novo Nordisk's Victoza citing their commitment to raising awareness of diabetes in the urban community, with an emphasis on children's nutrition."
Dwyane Wade,"In July 2016, Wade joined his hometown team, the Chicago Bulls, on a two-year deal worth approximately $47 million."
Dwyane Wade,"Unfortunately, people in my community don't get this opportunity, and I do not take it lightly to have this opportunity."
Dwyane Wade,"In 2003, Wade founded The Wade's World Foundation, which provides support to community-based organizations that promote education, health, and social skills for children in at-risk situations."
Dwyane Wade,He hosts a variety of community outreach programs in Chicago and South Florida.
Dwyane Wade,"In 2008, Wade announced his partnership with former teammate Alonzo Mourning's charitable foundation and co-hosted ZO's Summer Groove, an annual summer event."
Dwyane Wade,"Wade also donated furnishings, clothing, and gifts to the family."
Dwyane Wade,"In September 2009, Wade donated money from his foundation to keep the Robbins, Illinois public library from having to shut down."
Dwyane Wade,"Wade stated, ""I expected nothing less from my friends and colleagues in the sports community, our commitment to this cause knows no bounds, and we will continue to accept any and all donations throughout the days ahead."""
Elgin Baylor,A friend of Baylor's who attended the College of Idaho helped arrange a football scholarship for Baylor for the 1954–55 academic year.
Elgin Baylor,"After the season, the College of Idaho dismissed its head basketball coach and restricted the scholarships."
Gary Payton,Payton has made numerous well-regarded contributions of both time and money to the community.
Gary Payton,"He set up The Gary Payton Foundation in 1996 to provide safe places for recreational activity, and to help underprivileged youth in his hometown of Oakland stay in school."
Gary Payton,He hosts an annual charity basketball game as part of his foundation.
Gary Payton,"In 2001, Payton donated $100,000 to renovate EOYDC's gym – his first big grant in his hometown of Oakland."
Gary Payton,"Payton and his wife, Monique, have been active in fundraising endeavors for HIV awareness, and Payton has lent many hours and provided tremendous financial support to the Boys & Girls Club of America and the Make-a-Wish Foundation."
Gary Payton,Payton has also donated Miami Heat tickets to underprivileged children.
Gary Payton,He did it for charity during the NBA lockout.
Giannis Antetokounmpo,"On December 15, 2020, Antetokounmpo re-signed with the Bucks, coming to terms on a five-year, $228 million extension, the largest in league history."
Giannis Antetokounmpo,"On October 23, 2023, Antetokounmpo signed a three-year, $186 million extension with the Bucks."
Giannis Antetokounmpo,"Antetokounmpo and his family also donated 20,000 masks to people in Athens and Zografou in Greece in 2020."
Hakeem Olajuwon,"Olajuwon was voted the NCAA Tournament Most Outstanding Player in 1983, when he was also named the Helms Foundation Player of the Year."
Hakeem Olajuwon,"After Olajuwon's rookie year he signed a five-year agreement for $2.5 million, to endorse Etonic Shoes with a Signature line, the Dream Shoe."
Hakeem Olajuwon,"Olajuwon has had great success in the Houston real estate market, with his estimated profits exceeding $100 million."
Isiah Thomas,"As of 2015, Thomas was involved in a $300 million development deal for a mixed-use complex at the Illinois Medical District Commission."
Isiah Thomas,Thomas purchased the Continental Basketball Association (CBA) for $10 million in 1999.
Isiah Thomas,"The NBA then started its own minor league, depriving the CBA ""of its lifeblood, a $2 million annual payment the NBA made to retain the CBA as its official developmental league""."
Isiah Thomas,The case was then settled for $11.5 million.
Isiah Thomas,"Thomas founded Mary's Court, a foundation that supports economically disadvantaged parents and children on the West Side of Chicago."
Isiah Thomas,The charity is named for Thomas's mother.
Isiah Thomas,"Mary's Court has teamed up with another Chicago-based charity, Kids off the Block, to serve meals to Chicago children and families during Thanksgiving."
Isiah Thomas,"While Thomas was at FIU, Thomas and Mary's Court donated $50,000 to FIU's First Generation Scholarship and organized a sell-out charity game during the NBA lockout featuring NBA stars LeBron James and Dwyane Wade."
Isiah Thomas,The Peace League is an annual community basketball league within the Chicago area established by Thomas and Father Michael Pfleger in 2011.
Isiah Thomas,"In March 2013, Children Uniting Nations, an organization that focuses on advocacy/awareness and provides academic and community-based programs for at-risk and foster youth, presented Thomas and Mary's Court with the Lifetime Achievement Award for his passion and commitment to improving the lives of children."
Isiah Thomas,He was honored for his historic achievements in sports and his contributions to the African American community.
James Harden,"Rockets general manager Daryl Morey called Harden a ""foundational"" player and expected him to be Houston's featured player despite previously only playing a supporting role behind Kevin Durant and Russell Westbrook."
James Harden,"On July 27, 2022, Harden re-signed with the 76ers on a two-year, $68.6 million deal which includes a player option for the 2023–24 season."
James Harden,"Following the 2022–23 season, Harden picked up his $35.6 million option to remain with the 76ers but eventually requested a trade."
James Harden,"On August 3, 2015, the sports apparel company Adidas submitted an endorsement deal to Harden worth $200 million over the next 13 years."
Jason Kidd,"However, Kidd decided to stay with the Nets on a 6-year, $99 million deal."
Jason Kidd,"On February 19, 2008, Kidd was traded to the Mavericks along with Allen and Wright for Van Horn (via a sign and trade deal), Harris, Diop, Hassell, Ager, $3 million, and first round picks in 2008 and 2010."
Jason Kidd,"The three-year deal reportedly was worth more than $25 million, all of it fully guaranteed."
Jerry West,West had laid down the foundation of the Lakers' three-peat as they defended their NBA championship in 2001 and 2002.
John Havlicek,"Havlicek was a member of the board of the Genesis Foundation, which assists children with disabilities and genetic disorders."
John Havlicek,"He and his wife Beth held the John Havlicek Celebrity Fishing Tournament for more than three decades, with proceeds going to the foundation."
John Havlicek,Chris Havlicek attended the University of Virginia on a basketball scholarship in the early 1990s.
Julius Erving,"However, the New York Knicks upset the Nets' plans when they demanded that the Nets pay them $4.8 million for ""invading"" the Knicks' NBA territory."
Julius Erving,She raised money from private foundation to bring her old friend and mentor Kent Twitchell to Philadelphia.
Julius Erving,"""The goal was to try to integrate superior artwork with a subject that touched the community in a special way."""
Julius Erving,"There was a ripple effect—foundation and grants started to emerge."""
Kareem Abdul-Jabbar,He was the only player to win the Helms Foundation Player of the Year award three times.
Kareem Abdul-Jabbar,"The Globetrotters offered Alcindor $1 million to play for them, but he declined and was picked first overall in the 1969 NBA draft by the Milwaukee Bucks, who were in only their second season of existence."
Kareem Abdul-Jabbar,"After Alcindor chose the Milwaukee Bucks' offer of $1.4 million, the Nets offered a guaranteed $3.25 million."
Kareem Abdul-Jabbar,"Abdul-Jabbar purchased and donated 7700 16th Street NW, a house in Washington, D.C., for Khaalis to use as the Hanafi Madh-Hab Center; a few years later, the location would become the place of the 1973 Hanafi Muslim massacre."
Karl Malone,"By the 1987–88 season, Malone was the foundation of the offense and John Stockton was the floor general."
Karl Malone,"On May 31, 2007, Malone became director of basketball promotion and assistant strength and conditioning coach at his alma mater Louisiana Tech University and donated $350,000 to the university athletic department."
Karl Malone,"Malone donated $4,000 to the 2004 reelection campaign of President George W. Bush and $2,000 to the 2004 U.S. Senate campaign of Lisa Murkowski, a Republican from Alaska."
Karl Malone,"In 2002, Malone donated $1,000 to the campaign of incumbent U.S. Representative Jim Matheson, a Democrat representing Utah's 2nd congressional district."
Kawhi Leonard,"On January 10, 2024, Leonard signed an extension with the Clippers that will pay him $153 million over the next three years."
Kawhi Leonard,"Investigative sportswriter Pablo S. Torre reported that Leonard had signed a $28 million ""no-show"" endorsement deal with Aspiration which had not required any action on Leonard's part, other than remaining a Clipper."
Kawhi Leonard,"John Karalis of the Boston Sports Journal later reported that Leonard also received an additional $20 million in Aspiration company stock, bringing Leonard's total promised compensation from the company to $48 million."
Kawhi Leonard,"Ballmer gave an interview to ESPN's Ramona Shelburne on September 4, claiming that the team had introduced Leonard to Aspiration after signing a $300 million sponsorship agreement with the company, which is allowed under NBA rules, but had no further involvement in any endorsement deals the parties signed."
Kawhi Leonard,"On September 11, Torre released another podcast episode alleging that Clippers' co-owner and chairman Dennis Wong had invested $1.9 million in Aspiration nine days before Leonard was paid $1.75 million in December 2022, despite the company struggling financially at the time and laying off 20% of employees the same day the payment was made."
Kawhi Leonard,"The album aimed to benefit Mamba & Mambacita, a charity created in memory of Kobe and Gianna Bryant."
Kevin Durant,He has developed a reputation for philanthropy and has regularly led the league in All-Star votes and jersey sales.
Kevin Durant,"After the 2017 NBA Finals, Durant declined his $27.7 million player option and became an unrestricted free agent."
Kevin Durant,"On August 8, 2021, Durant signed a four-year, $198 million extension with the Nets."
Kevin Durant,"Durant owns several properties in the Oklahoma City area and listed his primary residence, located in the affluent Club Villa neighborhood, for sale for $1.95 million in 2013."
Kevin Durant,"In 2013, Durant earned $35 million, making him the fourth-highest-earning basketball player that year."
Kevin Durant,"In 2013, he pledged $1 million to the American Red Cross for the victims of the 2013 Moore tornado."
Kevin Durant,"Durant's hometown Seat Pleasant in Prince George's County, Maryland announced Kevin Durant Day as August 17, 2017 in honor of his contributions to the community, as well as for his back-to-back NBA Championship wins and NBA Finals MVP awards."
Kevin Durant,"As of June 2020, his channel had more than 790,000 subscribers and 38 million video views."
Kevin Garnett,They thought there would be more offered to them on the basis of the signings of $105 million over seven years for Alonzo Mourning of the Miami Heat and $100.8 million over seven years for Juwan Howard with the Washington Bullets.
Kevin Garnett,"The league punished the team for the illegal signing by stripping them of three first-round draft picks, fining Glen Taylor (the owner of the team) $3.5 million, and banning general manager Kevin McHale for one year."
Kevin Garnett,"Sprewell turned down a three-year, $21 million extension, and the Wolves wary of his injuries and age, traded Cassell for the much less effective Marko Jarić, and the team's record for 2005–06 fell to 33–49."
Kevin Garnett,It was the only major award a Celtic player had not claimed since the franchise's foundation in 1946.
Kobe Bryant,"Bryant remained the league's highest-paid player, although he accepted a discounted deal; Bryant had been eligible to receive an extension starting at $32 million per year."
Kobe Bryant,"Bryant was the leading overall vote-getter for the 2016 All-Star Game with 1.9 million votes, ahead of Stephen Curry's 1.6 million."
Kobe Bryant,"In January 2002, Bryant bought a Mediterranean-style house for $4 million, located on a cul-de-sac in Newport Coast, Newport Beach."
Kobe Bryant,"According to Forbes, at the time of his retirement, Bryant's $680 million in career earnings was the most ever by a team athlete during their playing career."
Kobe Bryant,CNN estimated Bryant's endorsement deals in 2007 to be worth $16 million a year.
Kobe Bryant,"In 2010, he was ranked third, behind Tiger Woods and Michael Jordan, in Forbes' list of the world's highest-paid athletes, with $48 million."
Kobe Bryant,The proceeds for downloads of both the single and ringtones were donated to impoverished schools for basketball facilities and equipment.
Kobe Bryant,"Bryant also started the Kobe Bryant China Fund which partnered with the Soong Ching Ling Foundation, a charity backed by the Chinese government."
Kobe Bryant,"On November 4, 2010, Bryant appeared alongside Zach Braff at the Call of Duty: Black Ops launch event at the Santa Monica Airport, where they presented a $1 million check to the Call of Duty Endowment, an Activision-founded nonprofit organization that helps veterans transition to civilian careers after their military service has ended."
Kobe Bryant,Bryant and his wife founded the Kobe and Vanessa Bryant Family Foundation (KVBFF).
Kobe Bryant,"During his lifetime, Bryant granted over 200 requests for the Make-A-Wish Foundation."
Kobe Bryant,The initial investment was a 10% stake in the Bodyarmor SuperDrink company for $6 million in March 2014.
Kobe Bryant,"With The Coca-Cola Company purchasing a minority stake in the company in August 2018, the valuation of Bryant's stake rose to approximately $200 million."
Kobe Bryant,"On August 22, 2016, Bryant and his business partner Jeff Stibel launched Bryant-Stibel, a venture capital firm focused on different businesses including media, data, gaming, and technology, with $100 million in funding."
Kobe Bryant,"On February 28, 2023, Vanessa Bryant was awarded a $28.85 million settlement from Los Angeles County to conclude legal proceedings over graphic photos of the aftermath of the helicopter crash that were shared without the permission of the family."
Kobe Bryant,"The figure includes the $15 million she was awarded from L.A. County in a 2022 civil trial, with ""additional funds to settle potential claims from her daughters""—Natalia, 20, Bianka, 6, and Capri, 3."
Kobe Bryant,"Chris Chester, a co-plaintiff who lost his 45-year-old wife and 13-year-old daughter in the crash, settled for $19.95 million."
Kobe Bryant,"The game was the second-most-watched in ESPN history, averaging 4.41 million viewers."
Larry Bird,Bird received a scholarship to play college basketball for the Indiana Hoosiers under head coach Bob Knight in 1974.
Larry Bird,"Bird signed his seven-year, $12.6 million extension in 1983, before the cap came into effect and the Celtics were actually over the cap in total player salaries (including Bird's extension) at the time the cap was implemented."
LeBron James,"The special was broadcast from the Boys & Girls Club of Greenwich, Connecticut and raised $2.5 million for the organization."
LeBron James,"An additional $3.5 million was raised from advertising revenue, and was donated to other charities."
LeBron James,"James signed a two-year, $85.7 million extension that kept him with the Lakers through the 2022–23 season."
LeBron James,"As of June 2023, James is the most followed basketball player on Instagram, with over 155 million followers."
LeBron James,"Memorabilia associated with James is highly sought after; two of James' rookie cards are among the most expensive basketball cards ever sold at auction, with one selling for $1.8 million in July 2020."
LeBron James,"All jerseys worn in the 2020 NBA All-Star Game were auctioned by the NBA and NBPA to raise funds for charity; James' jersey sold for $630,000, setting a record for a modern-day sports jersey."
LeBron James,"Coming out of high school, James was the subject of a three-way bidding war among Nike, Reebok, and Adidas; he eventually signed a seven-year deal with Nike in May 2003 for approximately $90 million."
LeBron James,"When Apple acquired Beats Electronics in 2014, James earned more than $30 million through the sale of his stake in the company."
LeBron James,"In 2013, he surpassed Bryant as the highest paid basketball player in the world, with earnings of $56.5 million."
LeBron James,"During the same year, the LeBron James Family Foundation partnered with Crypto to educate underserved Akron communities about blockchains and Web3 tools."
LeBron James,"Also in 2015, James' digital video company Uninterrupted raised $15.8 million from Warner Bros. Entertainment and Turner Sports to expand its efforts to bring athlete-created content to fans."
LeBron James,"In 2012, James, Maverick Carter and Paul Wachter made an investment of less than $1 million in the Pasadena-based fast casual chain Blaze Pizza; their investment had grown to $25 million by 2017."
LeBron James,"James has maintained close ties to his hometown of Akron, Ohio, which is also where his charity foundation, the LeBron James Family Foundation (LJFF), is based."
LeBron James,"Since 2005, the foundation has held an annual bike-a-thon to raise money for various causes."
LeBron James,"In 2015, James announced a partnership with the University of Akron to provide scholarships for up to 2,300 children beginning in 2021."
LeBron James,"In 2017, he received the J. Walter Kennedy Citizenship Award from the NBA for his ""outstanding service and dedication to the community."""
LeBron James,"Other initiatives undertaken by James in Akron include the I Promise Institute at the University of Akron, the I Promise Village housing complex, the House Three-Thirty community center and retail plaza, and the I Promise Health Quarters medical center."
LeBron James,"In 2016, he donated $2.5 million to the Smithsonian National Museum of African American History and Culture to support an exhibit on Muhammad Ali."
LeBron James,"In June 2008, James donated $20,000 to a committee in support of Barack Obama's 2008 U.S. presidential election campaign."
LeBron James,"James owns a 30,000 square foot (2,787 m2) mansion in Akron, Ohio, that he custom-built in 2003 at a cost of $2.1 million."
LeBron James,"During his stint with the Heat, James resided in Coconut Grove, where he bought a $9 million three-story mansion overlooking Biscayne Bay."
LeBron James,"In November 2015, he bought a 9,350 square-foot (869 m2) East Coast-style mansion in Brentwood, Los Angeles, for $21 million."
LeBron James,He purchased another home in Brentwood in December 2017 for $23 million.
LeBron James,"In September 2020, he purchased a third home in Los Angeles, this one in Beverly Hills, for $36.75 million."
LeBron James,"According to James' business partner Maverick Carter, James was in the habit of spending $1.5 million per year on his body, as reported by Men's Health in 2021."
LeBron James,"In a March 2025 interview, James denied that he spends up to $1 million per year on his health."
Magic Johnson,"In 1985, Johnson created ""A Midsummer Night's Magic"", a yearly charity event which included a celebrity basketball game and a black tie dinner."
Magic Johnson,"""A Midsummer Night's Magic"" eventually came under the umbrella of the Magic Johnson Foundation, which he founded in 1991."
Magic Johnson,"The 1992 event, which was the first one held after Johnson's appearance in the 1992 Olympics, raised over $1.3 million for UNCF."
Magic Johnson,"In 2023, Johnson invested $240 million in a group headed by Josh Harris that purchased the Washington Commanders of the National Football League (NFL) for $6.05 billion."
Magic Johnson,"After Johnson ended his coaching stint, Buss sold him a 4% stake in the Lakers for $10 million, and Johnson served as a team executive."
Magic Johnson,"Johnson runs Magic Johnson Enterprises, a conglomerate that has a net worth of $700 million; its subsidiaries include Magic Johnson Productions, a promotional company; Magic Johnson Theaters, a nationwide chain of movie theaters; and Magic Johnson Entertainment, a film studio."
Magic Johnson,"In 2005–2007, Johnson was a part of a syndicate that bought the Williamsburgh Savings Bank Tower, then the tallest building in Brooklyn, for $71 million and converted the 512-foot high landmark structure from an office building into luxury condominiums."
Magic Johnson,"In 1990, Johnson and Earl Graves Sr. obtained a large interest in the Washington, D.C. PepsiCo bottling operation, making it the company's largest minority-owned facility in the U.S. Johnson became a minority owner of the Lakers in 1994, having reportedly paid more than $10 million for part ownership."
Magic Johnson,"After announcing his infection in November 1991, Johnson created the Magic Johnson Foundation to help combat HIV, although he later diversified the foundation to include other charitable goals."
Magic Johnson,Johnson was later criticized by the AIDS community for his decreased involvement in publicizing the spread of the disease.
Michael Jordan,"He reportedly most strongly considered recruiting efforts from North Carolina, NC State, and Maryland before, in 1980, he accepted a basketball scholarship to the University of North Carolina at Chapel Hill, where he majored in cultural geography."
Michael Jordan,"In September 2022, Jordan's jersey in which he played the opening game of the 1998 NBA Finals was sold for $10.1 million, making it the most expensive game-worn sports memorabilia in history."
Michael Jordan,"Over the next few years, Jordan played golf in celebrity charity tournaments and spent time with his family in Chicago."
Michael Jordan,"The sale was officially completed in August 2023 for approximately $3 billion, more than 10 times the $275 million Jordan had paid for the team."
Michael Jordan,"It is reported that Juanita received a $168 million settlement (equivalent to $268 million in 2025), the largest celebrity divorce settlement on public record at the time."
Michael Jordan,Knafel claimed Jordan promised her $5 million for remaining silent and agreeing not to file a paternity suit after Knafel learned she was pregnant in 1991; a DNA test showed that Jordan was not the father of the child.
Michael Jordan,"The previous year, he admitted that he had to cover $57,000 in gambling losses, and author Richard Esquinas wrote a book in 1993 claiming he had won $1.25 million from Jordan on the golf course."
Michael Jordan,"Since 2008, Jordan's yearly income from endorsements is estimated at over $40 million."
Michael Jordan,"In June 2010, Jordan was ranked by Forbes as the 20th-most-powerful celebrity in the world, with $55 million earned between June 2009 and June 2010."
Michael Jordan,"From his Jordan Brand income and endorsements, Jordan's 2015 income was an estimated $110 million, the most of any retired athlete."
Michael Jordan,"In 2006, Jordan and his wife Juanita pledged $5 million to Chicago's Hales Franciscan High School."
Michael Jordan,The Make-A-Wish Foundation named Jordan its Chief Wish Ambassador in 2008.
Michael Jordan,"As of 2019, Jordan has raised more than $5 million for the Make-A-Wish Foundation."
Michael Jordan,"In 2023, he donated $10 million to the organization for his 60th birthday."
Michael Jordan,"In 2015, Jordan donated a settlement of undisclosed size from a lawsuit against supermarkets that had used his name without permission to 23 different Chicago charities."
Michael Jordan,"In 2017, Jordan gave $7 million to fund two Novant Health Michael Jordan Family Clinics in Charlotte, North Carolina, his biggest donation to that point."
Michael Jordan,"The following year, after Hurricane Florence damaged parts of North Carolina, Jordan donated $2 million to relief efforts."
Michael Jordan,He gave $1 million to aid the Bahamas' recovery following Hurricane Dorian in 2019.
Michael Jordan,"In 2016, amidst the public uproar about the police shootings of two African-American men, Alton Sterling and Philando Castile, and two deadly attacks against police officers in Dallas and Baton Rouge, Jordan made $1 million donations to the NAACP Legal Defense Fund and the Institute for Community-Police Relations."
Michael Jordan,"On June 5, 2020, in the wake of the protests following the murder of George Floyd, Jordan and his brand announced in a joint statement that they would be donating $100 million over the next 10 years to organizations dedicated to ""ensuring racial equality, social justice and greater access to education""."
Michael Jordan,"In February 2021, Jordan funded two Novant Health Michael Jordan Family Clinics in New Hanover County, North Carolina, by giving $10 million."
Michael Jordan,"The film received mixed reviews, but it was a box office success, making $230 million worldwide, and earned more than $1 billion through merchandise sales."
Moses Malone,"He signed an offer sheet of six-years for $13.2 million with the Philadelphia 76ers on September 2, 1982."
Moses Malone,Malone was reported to earn $1.6 million in the first season and $2 million for the second season.
Moses Malone,He had been scheduled to play in a charity golf tournament that day and was found unresponsive in his room when he did not appear for breakfast or answer his phone.
Oscar Robertson,"In 1997, Robertson donated one of his kidneys to his daughter Tia, who suffered lupus-related kidney failure."
Oscar Robertson,He has been an honorary spokesman for the National Kidney Foundation ever since.
Patrick Ewing,"In 2014, Ewing and sports agent David Falk announced a $3.3 million donation to the John R. Thompson, Jr. Intercollegiate Athletics Center under construction at Georgetown University."
Paul Pierce,"In 2003, two and a half years after the attack, Pierce pledged $2.5 million to help expand the high-tech surgical center at Tufts-New England Medical Center that helped make his recovery possible."
Ray Allen,"On February 10, 1999, following the 1998–99 NBA lockout, Allen signed a six-year, $70.9 million extension with the Bucks, making him the highest paid player in franchise history at that point."
Ray Allen,"After becoming a free agent on July 1, 2010, Allen re-signed a two-year deal with the Boston Celtics on July 7 worth $20 million."
Ray Allen,"Further internal discord with a bench role and a Rondo-focused approach led to Allen rejecting the Celtics and instead choosing to sign a two-year, $6 million deal with the Miami Heat."
Ray Allen,The Heat were limited to their mid-level exception amount of slightly more than $3 million per season.
Ray Allen,"On June 29, 2013, Allen picked up his $3.23 million player option to stay with the Heat through the 2013–14 NBA season."
Ray Allen,"He also started the ""Ray of Hope"" Foundation to assist charities in several communities."
Rick Barry,"Barry was born in Elizabeth, New Jersey and grew up in nearby Roselle Park, an urban middle-class community."
Rick Barry,"Barry fielded over 30 scholarship offers before choosing the University of Miami in Coral Gables, Florida largely because the Hurricanes adhered to an up-tempo, pro-style system under head coach Bruce Hale, which was conducive to Barry's skill set and athleticism."
Rick Barry,"Featured on the August 24, 1970, cover of Sports Illustrated in a Squires jersey, he indicated that he would not return to the NBA if the league paid him ""a million dollars a year."""
Russell Westbrook,"At age 16, Barrs was already known to have excellent basketball skills and received college scholarship offers."
Russell Westbrook,Westbrook declined other offers while waiting for the Bruins' Jordan Farmar to leave early for the NBA and free up a scholarship.
Russell Westbrook,"On January 9, 2012, Westbrook would sign a 5-year, $80 million extension to keep him in Oklahoma City through the 2016–17 season."
Russell Westbrook,"On June 13, Westbrook declined his $3.4 million player option, thus becoming a free agent."
Russell Westbrook,"Foundation, which promotes community-based education and family service programs while pushing the younger generation to be self-confident."
Scottie Pippen,"Playing point guard at Hamburg High School, Pippen led his team to the state playoffs and earned all-conference honors as a senior, but was not offered any college scholarships."
Scottie Pippen,"Pippen had invested over $20 million through Lunn, who was sentenced to three years in prison in March 2016 on multiple fraud counts; Lunn was found to have forged Pippen's signature on a $1.4 million loan that Lunn used to pay off personal debts."
Scottie Pippen,"On July 11, 2013, Camran Shafighi filed a $4 million lawsuit against Pippen in Los Angeles Superior Court over an incident that had occurred on June 23 at the restaurant Nobu in Malibu, California."
