Player,Philanthropic_Footprint,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10
Tim Duncan,4,"In 2001, Duncan established the Tim Duncan Foundation to fund programs involving health awareness and research, education, and youth sports and recreation in San Antonio, Winston-Salem, and the United States Virgin Islands.",The foundation's major events have included the Tim Duncan Bowling for Dollar$ Charity Bowl-A-Thon and the Slam Duncan Charity Golf Classic.,"Between 2001 and 2002, the foundation raised more than $350,000 for breast and prostate cancer research.","In August 2017, BlackJack Speed Shop, in partnership with The Tim Duncan Foundation, organized urgently needed supplies for victims of Hurricane Harvey.",,,,,,
Magic Johnson,3,"In 1985, Johnson created ""A Midsummer Night's Magic"", a yearly charity event which included a celebrity basketball game and a black tie dinner.","""A Midsummer Night's Magic"" eventually came under the umbrella of the Magic Johnson Foundation, which he founded in 1991.","After announcing his infection in November 1991, Johnson created the Magic Johnson Foundation to help combat HIV, although he later diversified the foundation to include other charitable goals.",,,,,,,
Kevin Durant,3,He has developed a reputation for philanthropy and has regularly led the league in All-Star votes and jersey sales.,"In 2013, he pledged $1 million to the American Red Cross for the victims of the 2013 Moore tornado.","Durant's hometown Seat Pleasant in Prince George's County, Maryland announced Kevin Durant Day as August 17, 2017 in honor of his contributions to the community, as well as for his back-to-back NBA Championship wins and NBA Finals MVP awards.",,,,,,,
Chris Paul,2,"You can build a new arena, you can be at games, you can cheer on the team, you're gonna have all this high energy but at the end of the day an organization is built on a foundation of respect and it's built on how you treat people and I don't think that in this situation Chris was treated right.","He has hosted and participated in numerous celebrity and youth bowling events as the head of the CP3 Foundation, which benefits programs in Louisiana affected by Hurricane Katrina, as well as charities in Winston-Salem.",,,,,,,,
Charles Barkley,2,The winner was to choose a charity to which the money would be donated.,His wife is an honorary member of the Phoenix-based Fresh Start Women's Foundation organization.,,,,,,,,
Julius Erving,2,She raised money from private foundation to bring her old friend and mentor Kent Twitchell to Philadelphia.,"There was a ripple effect—foundation and grants started to emerge.""",,,,,,,,
John Havlicek,2,"Havlicek was a member of the board of the Genesis Foundation, which assists children with disabilities and genetic disorders.","He and his wife Beth held the John Havlicek Celebrity Fishing Tournament for more than three decades, with proceeds going to the foundation.",,,,,,,,
Karl Malone,2,"By the 1987–88 season, Malone was the foundation of the offense and John Stockton was the floor general.","On May 31, 2007, Malone became director of basketball promotion and assistant strength and conditioning coach at his alma mater Louisiana Tech University and donated $350,000 to the university athletic department.",,,,,,,,
Shaquille O'Neal,1,"On March 2, 2005, O'Neal was given an honorary U.S. Deputy Marshal title and named the spokesman for the Safe Surfin' Foundation; he served an honorary role on the task force of the same name, which tracks down sexual predators who target children on the Internet.",,,,,,,,,
Patrick Ewing,1,"In 2014, Ewing and sports agent David Falk announced a $3.3 million donation to the John R. Thompson, Jr. Intercollegiate Athletics Center under construction at Georgetown University.",,,,,,,,,
Paul Pierce,1,"In 2003, two and a half years after the attack, Pierce pledged $2.5 million to help expand the high-tech surgical center at Tufts-New England Medical Center that helped make his recovery possible.",,,,,,,,,
Ray Allen,1,"He also started the ""Ray of Hope"" Foundation to assist charities in several communities.",,,,,,,,,
Oscar Robertson,1,He has been an honorary spokesman for the National Kidney Foundation ever since.,,,,,,,,,
Moses Malone,1,He had been scheduled to play in a charity golf tournament that day and was found unresponsive in his room when he did not appear for breakfast or answer his phone.,,,,,,,,,
Kawhi Leonard,1,"The album aimed to benefit Mamba & Mambacita, a charity created in memory of Kobe and Gianna Bryant.",,,,,,,,,
Giannis Antetokounmpo,1,"Antetokounmpo and his family also donated 20,000 masks to people in Athens and Zografou in Greece in 2020.",,,,,,,,,
Dirk Nowitzki,1,"He founded the Dirk Nowitzki Foundation, a charity which aims at fighting poverty in Africa.",,,,,,,,,
Bill Russell,1,"The Bill Russell Legacy Foundation, established by the Boston Celtics Shamrock Foundation, funded the project.",,,,,,,,,
Allen Iverson,1,"In this role, he is involved in player recruitment, community initiatives, and athlete activations, working alongside Shaquille O’Neal, who serves as Reebok's president of basketball.",,,,,,,,,
Kareem Abdul-Jabbar,1,"Abdul-Jabbar purchased and donated 7700 16th Street NW, a house in Washington, D.C., for Khaalis to use as the Hanafi Madh-Hab Center; a few years later, the location would become the place of the 1973 Hanafi Muslim massacre.",,,,,,,,,
Russell Westbrook,1,"Foundation, which promotes community-based education and family service programs while pushing the younger generation to be self-confident.",,,,,,,,,
Clyde Drexler,0,,,,,,,,,,
Dominique Wilkins,0,,,,,,,,,,
Bob Pettit,0,,,,,,,,,,
James Harden,0,,,,,,,,,,
Hakeem Olajuwon,0,,,,,,,,,,
Elgin Baylor,0,,,,,,,,,,
Elvin Hayes,0,,,,,,,,,,
John Stockton,0,,,,,,,,,,
Larry Bird,0,,,,,,,,,,
Jason Kidd,0,,,,,,,,,,
Jerry West,0,,,,,,,,,,
Kevin Garnett,0,,,,,,,,,,
Scottie Pippen,0,,,,,,,,,,
Nikola Jokic,0,,,,,,,,,,
Rick Barry,0,,,,,,,,,,
Tracy McGrady,0,,,,,,,,,,
Walt Frazier,0,,,,,,,,,,
Willis Reed,0,,,,,,,,,,
Wilt Chamberlain,0,,,,,,,,,,
